posting_id,posted_on,title,seniority,city,country,remote,salary_min_usd,salary_max_usd,company_size,skills
J72070,2023-01-27,Senior Data Scientist,senior,San Francisco,US,hybrid,169000,225500,midmarket,python|pytorch|pandas
J72868,2023-01-27,Staff Data Analyst,staff,São Paulo,BR,hybrid,47000,62500,startup,tableau|statistics|python|sql|looker|excel
J72993,2023-01-28,Staff Analytics Engineer,staff,Bengaluru,IN,hybrid,52500,70000,scaleup,airflow|git|sql|snowflake|dbt|python
J73440,2023-01-28,Staff Data Engineer,staff,San Francisco,US,remote,208000,277500,scaleup,sql|terraform|python|kafka|spark
J70549,2023-01-29,Lead Analytics Engineer,lead,Bengaluru,IN,hybrid,,,scaleup,snowflake|sql|git|airflow|dbt|python
J71130,2023-01-29,Senior Data Platform Engineer,senior,Bengaluru,IN,hybrid,,,scaleup,observability|spark|python|terraform|aws|kubernetes
J72563,2023-01-29,Lead Data Scientist,lead,Austin,US,onsite,,,enterprise,python|sql|experimentation|pandas|pytorch
J72071,2023-01-30,Junior Data Analyst,junior,London,GB,hybrid,,,startup,python|tableau|looker|statistics
J72749,2023-01-30,Data Scientist,mid,London,GB,hybrid,90500,121000,enterprise,pytorch|experimentation|statistics
J73298,2023-01-30,Staff Machine Learning Engineer,staff,New York,US,onsite,251000,335000,startup,python|mlflow|pytorch|kubernetes
J70245,2023-01-31,Junior Analytics Engineer,junior,Toronto,CA,remote,55000,73500,scaleup,python|snowflake|airflow|git|sql
J70427,2023-01-31,Junior Data Analyst,junior,São Paulo,BR,onsite,,,scaleup,statistics|sql|excel|python|looker
J70490,2023-01-31,Analytics Engineer,mid,Bengaluru,IN,remote,,,startup,airflow|python|git|dbt|snowflake
J72990,2023-01-31,Junior BI Developer,junior,London,GB,remote,52500,70000,enterprise,excel|power bi|modelling
J73189,2023-01-31,Staff Data Engineer,staff,New York,US,hybrid,192500,256500,startup,terraform|airflow|aws|python|kafka
J73338,2023-01-31,Senior Research Scientist,senior,Chicago,US,hybrid,171000,228000,scaleup,jax|statistics|research|python|pytorch
J72080,2023-02-01,Data Scientist,mid,Chicago,US,onsite,106500,141500,enterprise,experimentation|statistics|python|pytorch|sql
J72232,2023-02-01,Data Scientist,mid,Toronto,CA,remote,98500,131000,scaleup,sql|python|statistics
J73161,2023-02-01,Junior Data Engineer,junior,San Francisco,US,hybrid,109000,145500,scaleup,aws|sql|terraform|python|kafka
J70696,2023-02-02,Data Engineer,mid,Bengaluru,IN,hybrid,36000,47500,startup,spark|kafka|airflow|sql|aws
J70911,2023-02-02,Data Analyst,mid,Berlin,DE,remote,,,startup,looker|excel|statistics
J71381,2023-02-02,Analytics Engineer,mid,Toronto,CA,hybrid,81000,108000,enterprise,python|dbt|airflow|snowflake|sql
J71426,2023-02-02,Machine Learning Engineer,mid,San Francisco,US,onsite,,,enterprise,python|aws|sql|kubernetes|pytorch
J72350,2023-02-02,Staff BI Developer,staff,Austin,US,remote,131500,175500,scaleup,modelling|excel|sql|power bi
J70962,2023-02-03,Junior BI Developer,junior,Toronto,CA,hybrid,45500,60500,scaleup,sql|excel|dax
J72313,2023-02-03,Junior Machine Learning Engineer,junior,Berlin,DE,onsite,,,enterprise,python|kubernetes|aws|sql|pytorch
J72453,2023-02-03,Data Analyst,mid,San Francisco,US,hybrid,86000,115000,enterprise,sql|looker|statistics|tableau|excel|python
J73039,2023-02-03,Data Engineer,mid,Chicago,US,hybrid,103500,137500,scaleup,aws|airflow|sql|terraform|spark
J70540,2023-02-04,Junior Analytics Engineer,junior,Austin,US,onsite,74000,98500,midmarket,sql|dbt|snowflake|git
J70746,2023-02-04,Senior Data Engineer,senior,Berlin,DE,remote,112000,149000,midmarket,kafka|aws|spark|sql|python|airflow
J72038,2023-02-04,Staff Data Analyst,staff,New York,US,hybrid,129000,172000,midmarket,python|statistics|looker|sql|tableau
J72351,2023-02-04,Data Engineer,mid,Amsterdam,NL,hybrid,95500,127000,startup,spark|terraform|sql|airflow
J72969,2023-02-04,Senior Machine Learning Engineer,senior,San Francisco,US,hybrid,198500,264500,midmarket,aws|python|mlflow|sql|kubernetes
J73081,2023-02-04,Junior Machine Learning Engineer,junior,Chicago,US,hybrid,86500,115500,midmarket,python|aws|pytorch
J70160,2023-02-05,Junior Data Analyst,junior,London,GB,hybrid,47000,62500,enterprise,statistics|python|looker|tableau|sql
J70971,2023-02-05,Junior BI Developer,junior,São Paulo,BR,hybrid,,,scaleup,excel|sql|modelling|power bi|dax
J71184,2023-02-05,Junior Analytics Engineer,junior,London,GB,remote,59500,79000,enterprise,sql|python|git|airflow
J71650,2023-02-05,Staff BI Developer,staff,Bengaluru,IN,hybrid,42000,56000,enterprise,power bi|dax|modelling
J72054,2023-02-05,Staff Data Platform Engineer,staff,San Francisco,US,hybrid,241000,321500,startup,aws|kubernetes|python|observability
J72822,2023-02-05,Staff Data Analyst,staff,New York,US,hybrid,141500,189000,midmarket,statistics|excel|python|sql|tableau
J70705,2023-02-06,Lead Data Engineer,lead,San Francisco,US,hybrid,216000,288000,scaleup,terraform|kafka|airflow|sql|spark|python
J71913,2023-02-06,Junior Data Analyst,junior,Amsterdam,NL,hybrid,,,enterprise,statistics|sql|tableau|python|looker
J71920,2023-02-06,Data Engineer,mid,São Paulo,BR,hybrid,,,scaleup,aws|airflow|kafka|sql
J72500,2023-02-06,Data Engineer,mid,New York,US,hybrid,126500,168500,enterprise,aws|sql|airflow|python|kafka
J71373,2023-02-07,Staff Data Analyst,staff,San Francisco,US,onsite,147500,196500,scaleup,python|tableau|sql|looker
J72110,2023-02-08,Junior Data Scientist,junior,London,GB,hybrid,69500,93000,scaleup,pytorch|python|statistics|sql|pandas
J70232,2023-02-09,Analytics Engineer,mid,London,GB,hybrid,,,scaleup,airflow|sql|python|dbt
J70621,2023-02-09,Data Engineer,mid,New York,US,onsite,128500,171500,scaleup,aws|python|terraform|sql|kafka|spark
J71556,2023-02-09,Lead Data Platform Engineer,lead,San Francisco,US,hybrid,270500,360500,enterprise,observability|python|terraform
J72664,2023-02-09,Data Engineer,mid,Amsterdam,NL,hybrid,82500,110000,scaleup,terraform|sql|aws|kafka
J70830,2023-02-11,Junior Analytics Engineer,junior,Austin,US,remote,71000,94500,enterprise,git|dbt|airflow|python|snowflake
J70866,2023-02-11,Junior Data Analyst,junior,Toronto,CA,remote,,,enterprise,tableau|looker|excel|python|statistics
J70996,2023-02-11,Staff Data Engineer,staff,Austin,US,hybrid,165500,221000,midmarket,python|aws|spark|kafka|sql|terraform
J71095,2023-02-11,Junior Data Engineer,junior,Amsterdam,NL,remote,68000,91000,scaleup,terraform|sql|kafka|python
J72336,2023-02-11,Senior Data Scientist,senior,Berlin,DE,hybrid,116500,155500,scaleup,statistics|pandas|python|pytorch|experimentation
J73430,2023-02-11,Staff Machine Learning Engineer,staff,Amsterdam,NL,hybrid,,,midmarket,sql|pytorch|python|mlflow
J71401,2023-02-12,Junior Data Engineer,junior,New York,US,hybrid,94500,126000,midmarket,aws|kafka|sql
J70012,2023-02-13,Junior Data Analyst,junior,San Francisco,US,hybrid,70000,93000,startup,statistics|looker|tableau|excel|python|sql
J70574,2023-02-13,Machine Learning Engineer,mid,Amsterdam,NL,remote,102000,136000,midmarket,aws|python|pytorch
J71305,2023-02-13,Staff Data Analyst,staff,London,GB,hybrid,100500,134000,startup,tableau|sql|python|looker
J71341,2023-02-13,Senior Data Scientist,senior,Chicago,US,hybrid,140500,187500,startup,experimentation|pandas|python|pytorch|sql|statistics
J71647,2023-02-13,Junior Data Scientist,junior,Toronto,CA,hybrid,71500,95500,enterprise,pytorch|sql|statistics|python|experimentation|pandas
J72418,2023-02-13,Junior Machine Learning Engineer,junior,Berlin,DE,hybrid,,,startup,python|kubernetes|aws|sql|mlflow|pytorch
J73126,2023-02-13,Senior Data Analyst,senior,Berlin,DE,remote,,,enterprise,looker|sql|tableau|python|statistics|excel
J71743,2023-02-14,Junior Data Analyst,junior,London,GB,hybrid,42500,56500,scaleup,python|tableau|sql|excel
J71138,2023-02-15,BI Developer,mid,Austin,US,onsite,74000,98500,scaleup,excel|sql|power bi
J72425,2023-02-15,Senior Data Platform Engineer,senior,Bengaluru,IN,hybrid,50500,67500,midmarket,observability|terraform|kubernetes
J72705,2023-02-15,Staff Data Analyst,staff,São Paulo,BR,hybrid,46500,62000,enterprise,statistics|tableau|looker|python|excel|sql
J70016,2023-02-16,Junior Data Scientist,junior,Chicago,US,onsite,85500,114000,startup,sql|python|experimentation|pytorch|pandas
J70041,2023-02-16,Junior Analytics Engineer,junior,São Paulo,BR,remote,,,scaleup,airflow|git|snowflake|python|dbt
J70948,2023-02-16,Data Platform Engineer,mid,Bengaluru,IN,remote,38000,50500,enterprise,observability|spark|aws
J71364,2023-02-16,Junior Data Engineer,junior,Chicago,US,hybrid,,,midmarket,sql|aws|terraform
J72148,2023-02-16,Research Scientist,mid,Bengaluru,IN,hybrid,,,scaleup,python|statistics|jax
J70337,2023-02-17,Senior Data Engineer,senior,Toronto,CA,onsite,102500,137000,enterprise,terraform|python|kafka
J70498,2023-02-17,Junior BI Developer,junior,Chicago,US,hybrid,55500,74000,enterprise,dax|modelling|sql|power bi
J71273,2023-02-17,Senior Data Analyst,senior,Bengaluru,IN,onsite,29500,39500,startup,statistics|tableau|sql
J72620,2023-02-17,Junior Data Engineer,junior,Chicago,US,hybrid,80500,107500,enterprise,python|aws|terraform
J72743,2023-02-17,Senior Machine Learning Engineer,senior,Bengaluru,IN,remote,60000,80000,scaleup,sql|python|pytorch|aws|kubernetes
J71822,2023-02-18,Senior Data Scientist,senior,Chicago,US,hybrid,150500,200500,midmarket,python|experimentation|pandas
J72437,2023-02-18,Senior Data Engineer,senior,São Paulo,BR,hybrid,56000,74500,midmarket,kafka|spark|airflow|terraform|python|aws
J73139,2023-02-18,Senior Analytics Engineer,senior,Berlin,DE,hybrid,,,startup,git|sql|python|airflow
J72613,2023-02-19,Data Engineer,mid,San Francisco,US,hybrid,129000,172000,enterprise,spark|sql|python|airflow
J71500,2023-02-20,BI Developer,mid,London,GB,hybrid,,,startup,modelling|excel|sql|power bi
J72786,2023-02-20,Senior Data Platform Engineer,senior,Amsterdam,NL,hybrid,114500,152500,scaleup,aws|spark|terraform
J73288,2023-02-20,Senior Analytics Engineer,senior,Amsterdam,NL,hybrid,,,enterprise,dbt|python|airflow|snowflake|git|sql
J70051,2023-02-21,Data Analyst,mid,Toronto,CA,onsite,62000,82500,midmarket,statistics|python|tableau|sql|looker|excel
J70060,2023-02-21,Senior BI Developer,senior,London,GB,onsite,,,enterprise,modelling|dax|excel|sql|power bi
J70165,2023-02-21,Staff BI Developer,staff,Bengaluru,IN,onsite,39500,53000,midmarket,sql|excel|dax
J70481,2023-02-21,Data Analyst,mid,New York,US,remote,88000,117500,midmarket,tableau|excel|statistics|sql|looker|python
J70617,2023-02-21,Analytics Engineer,mid,New York,US,remote,129000,172000,enterprise,git|snowflake|sql|airflow|python
J73041,2023-02-21,Analytics Engineer,mid,New York,US,hybrid,121000,161500,scaleup,airflow|git|dbt|snowflake|python
J70787,2023-02-22,Senior Data Scientist,senior,Austin,US,hybrid,132000,176000,startup,pandas|python|pytorch
J70887,2023-02-22,Junior Data Engineer,junior,New York,US,onsite,101000,135000,enterprise,spark|python|airflow|sql|aws|terraform
J72674,2023-02-22,Data Engineer,mid,Austin,US,hybrid,104500,139500,midmarket,python|airflow|aws|kafka|terraform|spark
J70181,2023-02-23,Lead Data Engineer,lead,London,GB,onsite,140000,187000,midmarket,aws|airflow|terraform|sql|python|spark
J70750,2023-02-23,Data Analyst,mid,San Francisco,US,hybrid,100000,133500,startup,sql|python|statistics|looker
J71339,2023-02-23,Senior Data Analyst,senior,New York,US,remote,104500,139500,startup,python|statistics|looker|excel|tableau|sql
J72349,2023-02-23,Analytics Engineer,mid,New York,US,hybrid,127500,170000,enterprise,python|sql|airflow|snowflake|git|dbt
J73174,2023-02-23,Senior Machine Learning Engineer,senior,Toronto,CA,onsite,141000,188000,enterprise,kubernetes|sql|python|mlflow|pytorch
J71050,2023-02-24,Data Scientist,mid,London,GB,onsite,98500,131500,midmarket,statistics|experimentation|sql
J71630,2023-02-24,Staff Data Scientist,staff,Berlin,DE,remote,139500,186000,midmarket,python|experimentation|statistics|pandas
J72971,2023-02-24,Staff Data Analyst,staff,Amsterdam,NL,onsite,,,startup,looker|sql|statistics|python
J70210,2023-02-25,Junior Data Scientist,junior,São Paulo,BR,hybrid,34500,45500,enterprise,statistics|python|experimentation|sql
J70381,2023-02-25,Data Engineer,mid,Austin,US,remote,106500,142000,enterprise,kafka|terraform|airflow|python|sql
J71506,2023-02-25,Staff Research Scientist,staff,Bengaluru,IN,onsite,,,startup,statistics|pytorch|jax|python
J72126,2023-02-25,Data Engineer,mid,Chicago,US,hybrid,,,midmarket,kafka|airflow|python|terraform|spark
J72560,2023-02-25,Data Scientist,mid,London,GB,hybrid,,,scaleup,pandas|python|sql|experimentation|pytorch
J70580,2023-02-26,Data Engineer,mid,San Francisco,US,hybrid,135500,180500,enterprise,aws|python|terraform
J70822,2023-02-26,Data Engineer,mid,Bengaluru,IN,hybrid,38500,51000,scaleup,python|kafka|aws|airflow|sql
J71035,2023-02-26,Staff Data Analyst,staff,New York,US,hybrid,133000,177500,scaleup,tableau|looker|excel|python|statistics|sql
J73097,2023-02-26,Senior Data Analyst,senior,Amsterdam,NL,hybrid,,,enterprise,statistics|tableau|excel|looker|python|sql
J70982,2023-02-27,Junior BI Developer,junior,Chicago,US,hybrid,61500,82500,scaleup,sql|modelling|power bi
J71277,2023-02-28,Lead Data Analyst,lead,Berlin,DE,remote,100000,133500,midmarket,looker|tableau|statistics
J72058,2023-02-28,Junior Data Engineer,junior,Bengaluru,IN,remote,28000,37500,scaleup,sql|kafka|airflow|python|aws
J72366,2023-02-28,Senior Data Scientist,senior,San Francisco,US,onsite,172500,230500,startup,python|sql|pandas|pytorch|experimentation|statistics
J71284,2023-03-01,Senior Data Engineer,senior,Bengaluru,IN,hybrid,44500,59000,startup,kafka|aws|sql|terraform|python
J71421,2023-03-01,Staff Machine Learning Engineer,staff,Amsterdam,NL,remote,179000,239000,midmarket,aws|pytorch|mlflow|kubernetes
J71706,2023-03-01,Senior Analytics Engineer,senior,Toronto,CA,hybrid,101000,135000,enterprise,git|airflow|dbt|sql
J72499,2023-03-01,Analytics Engineer,mid,São Paulo,BR,onsite,41500,55000,startup,sql|python|git|airflow|dbt|snowflake
J70149,2023-03-02,Senior Data Analyst,senior,Berlin,DE,hybrid,,,midmarket,statistics|looker|python|tableau|excel
J70167,2023-03-02,Machine Learning Engineer,mid,San Francisco,US,remote,161500,215500,midmarket,pytorch|mlflow|aws|python|kubernetes|sql
J71615,2023-03-02,Data Engineer,mid,New York,US,remote,132500,177000,midmarket,python|kafka|aws|sql
J71700,2023-03-02,Senior Machine Learning Engineer,senior,Berlin,DE,hybrid,125500,167500,enterprise,kubernetes|mlflow|aws|python|pytorch|sql
J71802,2023-03-02,Junior Data Scientist,junior,Berlin,DE,hybrid,59000,78500,midmarket,sql|statistics|pandas|pytorch
J71882,2023-03-02,Staff Machine Learning Engineer,staff,Amsterdam,NL,onsite,153500,204500,enterprise,kubernetes|python|mlflow
J72043,2023-03-02,Machine Learning Engineer,mid,San Francisco,US,hybrid,155000,207000,enterprise,mlflow|sql|pytorch|aws
J72050,2023-03-02,Data Engineer,mid,Bengaluru,IN,remote,35500,47500,scaleup,kafka|python|terraform|airflow|spark
J73441,2023-03-02,Senior Data Engineer,senior,London,GB,onsite,124500,166000,scaleup,aws|kafka|spark
J71212,2023-03-03,Junior Data Analyst,junior,New York,US,onsite,,,scaleup,excel|statistics|sql
J71590,2023-03-03,Lead Data Engineer,lead,London,GB,remote,142000,189500,startup,python|terraform|sql|airflow
J70252,2023-03-04,Senior Data Analyst,senior,Amsterdam,NL,hybrid,75500,100500,enterprise,excel|tableau|sql|statistics
J73152,2023-03-04,Senior Data Engineer,senior,Bengaluru,IN,hybrid,48000,64500,enterprise,spark|terraform|kafka|python|aws
J72297,2023-03-05,Junior BI Developer,junior,London,GB,hybrid,45000,60000,startup,modelling|excel|dax|sql
J73070,2023-03-05,Data Analyst,mid,San Francisco,US,onsite,87500,116500,midmarket,python|sql|looker
J72095,2023-03-06,Data Analyst,mid,São Paulo,BR,hybrid,,,midmarket,tableau|statistics|python|excel|sql|looker
J72280,2023-03-06,Lead Data Engineer,lead,Bengaluru,IN,remote,,,enterprise,terraform|aws|python
J70056,2023-03-07,Senior Research Scientist,senior,Bengaluru,IN,onsite,,,enterprise,statistics|python|pytorch|research|jax
J70373,2023-03-07,Senior Data Engineer,senior,New York,US,remote,175000,233000,enterprise,airflow|python|spark|aws|sql
J71081,2023-03-07,Staff Machine Learning Engineer,staff,Amsterdam,NL,onsite,152000,203000,startup,python|mlflow|aws|sql|pytorch
J71471,2023-03-07,Lead Data Analyst,lead,Bengaluru,IN,onsite,,,enterprise,sql|statistics|tableau|excel
J72150,2023-03-07,Junior Data Platform Engineer,junior,Chicago,US,onsite,84500,112500,startup,python|kubernetes|aws|spark|observability|terraform
J70422,2023-03-08,Junior BI Developer,junior,San Francisco,US,hybrid,,,scaleup,sql|power bi|excel|modelling|dax
J72021,2023-03-08,Senior Data Engineer,senior,London,GB,remote,,,scaleup,spark|terraform|python|aws|sql
